0x0 	Nothing 	なし
0x4c2 	Ninja Ruff 	しのびのマフラー
0x4c3 	Awe Mantle 	ふしぎなはごろも
0x4c4 	Good Earring 	グッドイヤリング
0x4c5 	Nice Bangle 	ナイスバングル
0x4c6 	Great Torc 	グレートリング
0x4c7 	Makuhit-Belt 	マクノシタベルト
0x4c8 	Thrust Belt 	つっぱりハラマキ
0x4c9 	Nose-Torc 	ノズパスリング
0x4ca 	Sable-Scope 	ヤミラミスコープ
0x4cb 	Deceit Mask 	あざむきずきん
0x4cc 	Iron Torc 	アイアンリング
0x4cd 	Metal Bangle 	メタルバングル
0x4ce 	Iron Helmet 	てつのヘルメット
0x4cf 	Intuit Bow 	みきわめリボン
0x4d0 	Ponder Sash 	めいそうバンダナ
0x4d1 	Punish Torc 	てんばつのリング
0x4d2 	Protect Mask 	まもられずきん
0x4d3 	Neon Scarf 	ネオンスカーフ
0x4d4 	Evening Bow 	よぞらのリボン
0x4d5 	Thorned Torc 	いばらのリング
0x4d6 	Gulpin Bow 	ゴクリンのリボン
0x4d7 	Swalot Belt 	マルノームベルト
0x4d8 	Carva-Sash 	キバニアバンダナ
0x4d9 	Vicious Bow 	きょうあくリボン
0x4da 	Spout Scarf 	しおふきスカーフ
0x4db 	Huge Bow 	きょだいなリボン
0x4dc 	Numel Bow 	ドンメルのリボン
0x4dd 	Erupt Scarf 	ふんかスカーフ
0x4de 	Sooty Sash 	すすけたバンダナ
0x4df 	Spring Bow 	バネつきリボン
0x4e0 	Scheme Scarf 	あやつりスカーフ
0x4e1 	Hula Bow 	フラフラリボン
0x4e2 	Desert Bow 	デザートリボン
0x4e3 	Vibra Scarf 	しんどうスカーフ
0x4e4 	Red Glasses 	あかいサングラス
0x4e5 	Desert Sash 	さばくのバンダナ
0x4e6 	Cacturne Hat 	ノクタスハット
0x4e7 	Tuft Bow 	まわたのリボン
0x4e8 	Cloud Ruff 	わたぐもマフラー
0x4e9 	Strong Sash 	つよきのバンダナ
0x4ea 	Seviper Bow 	ハブネークリボン
0x4eb 	Lunaton-Torc 	ルナトーンリング
0x4ec 	Solrock Bow 	ソルロックリボン
0x4ed 	Soak Scarf 	しめりけスカーフ
0x4ee 	Whiscash Bow 	ナマズンリボン
0x4ef 	Bossy Scarf 	いあつのスカーフ
0x4f0 	Cower Sash 	ひるませバンダナ
0x4f1 	Bal-Brooch 	ヤジロンブローチ
0x4f2 	Claydol Torc 	ネンドールリング
0x4f3 	Bind Scarf 	そくばくスカーフ
0x4f4 	Cradily Bow 	ユレイドルリボン
0x4f5 	Guard Claw 	まもりのツメ
0x4f6 	Rigid Cape 	きょうこなマント
0x4f7 	Admire Scarf 	すてきなスカーフ
0x4f8 	Grace Scarf 	うるわしスカーフ
0x4f9 	Kecleon Torc 	カクレオンリング
0x4fa 	Shuppet Cape 	カゲボウズケープ
0x4fb 	Ominous Torc 	ふうんなリング
0x4fc 	Duskull Ruff 	ヨマワルマフラー
0x4fd 	Illusion Bow 	げんわくのリボン
0x4fe 	Tropius Bow 	トロピウスリボン
0x4ff 	Chime-Scarf 	チリーンスカーフ
0x500 	Perish Torc 	わざわいリング
0x501 	Chilly Hat 	つめたいぼうし
0x502 	Hail Scarf 	あられスカーフ
0x503 	Sleet Bow 	みぞれリボン
0x504 	Safe Scarf 	みまもりスカーフ
0x505 	Walrein Torc 	トドゼルガリング
0x506 	Clam-Brooch 	パールルブローチ
0x507 	Deep Torc 	ディープリング
0x508 	Gore-Scarf 	サクラビスカーフ
0x509 	Reli-Torc 	ジーランスリング
0x50a 	Luvdisc Torc 	ラブカスリング
0x50b 	Crag Helmet 	いしのヘルメット
0x50c 	Outlast Bow 	にんたいリボン
0x50d 	Sala-Cape 	ボーマンダマント
0x50e 	Beldum Torc 	ダンバルリング
0x50f 	Metang Scarf 	メタングスカーフ
0x510 	Meta-Torc 	メタグロスリング
0x511 	Starly Bow 	ムックルリボン
0x512 	Regret Torc 	つうこんのリング
0x513 	Guts Sash 	ガッツバンダナ
0x514 	Still Bow 	れいせいリボン
0x515 	Kricke-Torc 	コロトックリング
0x516 	Budew Scarf 	スボミースカーフ
0x517 	Bouquet Cape 	はなたばのマント
0x518 	Hard Helmet 	ハードヘルメット
0x519 	Skull Helmet 	スカルヘルメット
0x51a 	Rebound Bow 	はねかえしリボン
0x51b 	Block Brooch 	とおさずブローチ
0x51c 	Straw Cape 	ストローマント
0x51d 	Worma-Bow 	ミノマダムリボン
0x51e 	Mothim Bow 	ガーメイルリボン
0x51f 	Nectar Bow 	ハニーリボン
0x520 	Vespi-Torc 	ビークインリング
0x521 	Awake Bow 	めざめるリボン
0x522 	Gastro-Torc 	トリトドンリング
0x523 	Ambipom Bow 	エテボースリボン
0x524 	Defrost Ruff 	こおらずマフラー
0x525 	Allure Coat 	みわくのコート
0x526 	Magic Hat 	スペルハット
0x527 	Honch-Cape 	ドンカラスマント
0x528 	Glameow Bow 	ニャルマーリボン
0x529 	Scary Belt 	こわいベルト
0x52a 	Ching-Torc 	リーシャンリング
0x52b 	Stinky Scarf 	におうスカーフ
0x52c 	Stench Sash 	くさすぎバンダナ
0x52d 	Image Brooch 	かがみのブローチ
0x52e 	Mirror Torc 	ミラーリング
0x52f 	Chatot Scarf 	ペラップスカーフ
0x530 	Thick Scarf 	ぶあついスカーフ
0x531 	Grit Veil 	すなのベール
0x532 	Skorupi Bow 	スコルピのリボン
0x533 	Dust Scarf 	さじんのスカーフ
0x534 	Croa-Torc 	グレッグルリング
0x535 	Toxi-Belt 	ドクロッグベルト
0x536 	Carni-Bow 	マスキッパリボン
0x537 	Swim Bow 	スイスイリボン
0x538 	Lumi-Torc 	ネオラントリング
0x539 	Snowy Torc 	スノーリング
0x53a 	Frozen Cape 	フローズンマント
0x53b 	Builder Sash 	じがためバンダナ
0x53c 	Flabby Belt 	ぶよぶよベルト
0x53d 	Rhyperi-Torc 	ドサイドンリング
0x53e 	Clinging Bow 	しがみつきリボン
0x53f 	Yanmega Bow 	メガヤンマリボン
0x540 	Gliscor Cape 	グライオンマント
0x541 	Glacier Cape 	ひょうがのマント
0x542 	Best Scarf 	さいてきスカーフ
0x543 	Gallant Torc 	ゆうしゃのリング
0x544 	Probo-Hat 	ダイノーズハット
0x545 	Unlucky Sash 	あくうんバンダナ
0x546 	Froslass Bow 	ユキメノコリボン
0x547 	Purify Veil 	じょうかのベール
0x548 	$$$ 	$$$
0x549 	$$$ 	$$$
0x54a 	$$$ 	$$$
0x54b 	$$$ 	$$$
0x54c 	$$$ 	$$$
0x54d 	$$$ 	$$$
0x54e 	$$$ 	$$$
0x54f 	$$$ 	$$$
0x550 	$$$ 	$$$
0x551 	$$$ 	$$$
0x552 	$$$ 	$$$
0x553 	$$$ 	$$$
0x554 	$$$ 	$$$
0x555 	$$$ 	$$$
0x556 	$$$ 	$$$
0x557 	$$$ 	$$$
0x558 	$$$ 	$$$
0x559 	$$$ 	$$$
0x55a 	$$$ 	$$$
0x55b 	$$$ 	$$$
0x55c 	$$$ 	$$$
0x55d 	$$$ 	$$$
0x55e 	$$$ 	$$$
0x55f 	$$$ 	$$$
0x560 	$$$ 	$$$
0x561 	$$$ 	$$$
0x562 	$$$ 	$$$
0x563 	$$$ 	$$$
0x564 	$$$ 	$$$
0x565 	$$$ 	$$$
0x566 	$$$ 	$$$
0x567 	$$$ 	$$$
0x568 	$$$ 	$$$
0x569 	$$$ 	$$$
0x56a 	$$$ 	$$$
0x56b 	$$$ 	$$$
0x56c 	$$$ 	$$$
0x56d 	$$$ 	$$$
0x56e 	$$$ 	$$$
0x56f 	$$$ 	$$$
0x570 	$$$ 	$$$
0x571 	$$$ 	$$$
0x572 	$$$ 	$$$
0x573 	$$$ 	$$$
0x574 	$$$ 	$$$
0x575 	$$$ 	$$$
0x576 	$$$ 	$$$
0x577 	$$$ 	$$$
